[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.application.HelloApplication  - Error main
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.boot.registry.classloading.spi.ClassLoadingException: Unable to load class [bg.tuvarna.sit.group5.tickets.data.entities.DistribEvent]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.UserRepository  - Get User error: No entity found for query
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventTypeRepository  - Get User error: Type specified for TypedQuery [bg.tuvarna.sit.group5.tickets.data.entities.User] is incompatible with query return type [class bg.tuvarna.sit.group5.tickets.data.entities.EventType]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventTypeRepository  - Get User error: Type specified for TypedQuery [bg.tuvarna.sit.group5.tickets.data.entities.User] is incompatible with query return type [class bg.tuvarna.sit.group5.tickets.data.entities.EventType]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventTypeRepository  - Get User error: Type specified for TypedQuery [bg.tuvarna.sit.group5.tickets.data.entities.User] is incompatible with query return type [class bg.tuvarna.sit.group5.tickets.data.entities.EventType]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventTypeRepository  - Get User error: Type specified for TypedQuery [bg.tuvarna.sit.group5.tickets.data.entities.User] is incompatible with query return type [class bg.tuvarna.sit.group5.tickets.data.entities.EventType]
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - Cannot add or update a child row: a foreign key constraint fails (`tickets_oop`.`distrib_event`, CONSTRAINT `fk_Distrib_event_Event1` FOREIGN KEY (`Event_idEvent1`) REFERENCES `event` (`idEvent`))
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventTypeRepository  - EventType update errorA different object with the same identifier value was already associated with the session : [bg.tuvarna.sit.group5.tickets.data.entities.EventType#5]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventTypeRepository  - EventType update errorA different object with the same identifier value was already associated with the session : [bg.tuvarna.sit.group5.tickets.data.entities.Organizer#10]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventTypeRepository  - EventType update errorA different object with the same identifier value was already associated with the session : [bg.tuvarna.sit.group5.tickets.data.entities.Organizer#10]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventTypeRepository  - EventType update errorA different object with the same identifier value was already associated with the session : [bg.tuvarna.sit.group5.tickets.data.entities.Organizer#10]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventTypeRepository  - EventType update errorA different object with the same identifier value was already associated with the session : [bg.tuvarna.sit.group5.tickets.data.entities.Organizer#10]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventTypeRepository  - EventType update errorA different object with the same identifier value was already associated with the session : [bg.tuvarna.sit.group5.tickets.data.entities.Organizer#10]
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - Field 'user_idUser1' doesn't have a default value
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - Field 'Event_idEvent1' doesn't have a default value
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventRepository  - Event save errorA different object with the same identifier value was already associated with the session : [bg.tuvarna.sit.group5.tickets.data.entities.Organizer#17]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventRepository  - Event save errorA different object with the same identifier value was already associated with the session : [bg.tuvarna.sit.group5.tickets.data.entities.Organizer#17]
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - Field 'Event_idEvent1' doesn't have a default value
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventRepository  - Event save errorA different object with the same identifier value was already associated with the session : [bg.tuvarna.sit.group5.tickets.data.entities.Organizer#18]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventRepository  - Event save errorA different object with the same identifier value was already associated with the session : [bg.tuvarna.sit.group5.tickets.data.entities.Organizer#17]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventTypeRepository  - EventType update errorA different object with the same identifier value was already associated with the session : [bg.tuvarna.sit.group5.tickets.data.entities.EventType#7]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventTypeRepository  - EventType update errorA different object with the same identifier value was already associated with the session : [bg.tuvarna.sit.group5.tickets.data.entities.EventType#7]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventRepository  - Event save errorA different object with the same identifier value was already associated with the session : [bg.tuvarna.sit.group5.tickets.data.entities.Organizer#17]
